Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.8766523333 , -71.3924596667 , 22547 , -30.70 , 38.46 , 931 , Tue Jun 20 2017 17:33:23 GMT-0400 (EDT) , 300234064222900
42.877186 , -71.3939611667 , 22976 , -27.90 , 36.30 , 929 , Tue Jun 20 2017 17:34:49 GMT-0400 (EDT) , 300234064222900
42.877105 , -71.397033 , 23375 , -27.50 , 34.45 , 927 , Tue Jun 20 2017 17:36:10 GMT-0400 (EDT) , 300234064222900
42.878357 , -71.402341 , 23788 , -28.20 , 30.92 , 924 , Tue Jun 20 2017 17:37:53 GMT-0400 (EDT) , 300234064222900
42.8781231667 , -71.4062455 , 24342 , -24.70 , 29.30 , 921 , Tue Jun 20 2017 17:39:36 GMT-0400 (EDT) , 300234064222900
42.8781503333 , -71.4163908333 , 24890 , -24.10 , 25.12 , 918 , Tue Jun 20 2017 17:41:01 GMT-0400 (EDT) , 300234064222900
42.878902 , -71.4263145 , 25351 , -22.40 , 23.24 , 916 , Tue Jun 20 2017 17:42:30 GMT-0400 (EDT) , 300234064222900
42.8796723333 , -71.4371908333 , 25789 , -21.10 , 23.26 , 913 , Tue Jun 20 2017 17:43:54 GMT-0400 (EDT) , 300234064222900
42.8817681667 , -71.4436283333 , 26237 , -20.00 , 21.36 , 910 , Tue Jun 20 2017 17:45:19 GMT-0400 (EDT) , 300234064222900
42.8819923333 , -71.447122 , 26720 , -32.00 , 19.56 , 908 , Tue Jun 20 2017 17:46:45 GMT-0400 (EDT) , 300234064222900
42.8784498333 , -71.4487471667 , 27195 , -17.00 , 18.42 , 905 , Tue Jun 20 2017 17:48:06 GMT-0400 (EDT) , 300234064222900
42.875348 , -71.4533506667 , 27651 , -19.40 , 17.06 , 901 , Tue Jun 20 2017 17:49:31 GMT-0400 (EDT) , 300234064222900
42.8749783333 , -71.4605885 , 28110 , -22.80 , 15.92 , 899 , Tue Jun 20 2017 17:50:59 GMT-0400 (EDT) , 300234064222900
42.8763438333 , -71.4655581667 , 28613 , -14.50 , 14.62 , 895 , Tue Jun 20 2017 17:52:23 GMT-0400 (EDT) , 300234064222900
42.8752176667 , -71.4719218333 , 29096 , -11.50 , 2.38 , 892 , Tue Jun 20 2017 17:53:54 GMT-0400 (EDT) , 300234064222900
42.8739435 , -71.4792061667 , 29580 , -9.50 , 12.53 , 887 , Tue Jun 20 2017 17:55:16 GMT-0400 (EDT) , 300234064222900
42.8741231667 , -71.4885183333 , 30091 , -8.70 , 11.20 , 884 , Tue Jun 20 2017 17:56:41 GMT-0400 (EDT) , 300234064222900
42.8747591667 , -71.4982878333 , 30590 , -6.90 , 10.70 , 879 , Tue Jun 20 2017 17:58:03 GMT-0400 (EDT) , 300234064222900
42.8756721667 , -71.5072786667 , 31057 , -7.80 , 9.36 , 876 , Tue Jun 20 2017 17:59:46 GMT-0400 (EDT) , 300234064222900
42.8786371667 , -71.5174496667 , 31660 , -4.50 , 9.36 , 870 , Tue Jun 20 2017 18:01:10 GMT-0400 (EDT) , 300234064222900
