Latitude , Longitude , Altitude , Temperature , Barometer , Sound , Transmit Time , DeviceId
42.382926 , -72.5915965 , 8581 , -25.30 , 347.18 , 65535 , Wed Jul 19 2017 14:24:46 GMT-0400 (EDT) , 300234065639530
42.3875228333 , -72.5790568333 , 6978 , -12.30 , 430.14 , 65535 , Wed Jul 19 2017 14:26:06 GMT-0400 (EDT) , 300234065639530
42.3903603333 , -72.5710205 , 5895 , -6.00 , 493.15 , 65535 , Wed Jul 19 2017 14:27:59 GMT-0400 (EDT) , 300234065639530
42.3895713333 , -72.5600938333 , 3917 , 4.20 , 635.38 , 159 , Wed Jul 19 2017 14:29:28 GMT-0400 (EDT) , 300234065639530
42.3874568333 , -72.5516835 , 2882 , 11.80 , 720.83 , 160 , Wed Jul 19 2017 14:30:57 GMT-0400 (EDT) , 300234065639530
42.3876555 , -72.5431523333 , 1992 , 15.00 , 800.35 , 151 , Wed Jul 19 2017 14:32:23 GMT-0400 (EDT) , 300234065639530
42.3881876667 , -72.538482 , 1245 , 19.10 , 873.51 , 65535 , Wed Jul 19 2017 14:33:50 GMT-0400 (EDT) , 300234065639530
42.3883541667 , -72.532114 , 429 , 26.90 , 963.45 , 0 , Wed Jul 19 2017 14:35:23 GMT-0400 (EDT) , 300234065639530
42.3880093333 , -72.5296503333 , 91 , 34.80 , 1002.44 , 65535 , Wed Jul 19 2017 14:50:14 GMT-0400 (EDT) , 300234065639530
42.38798 , -72.5294676667 , 93 , 35.80 , 1002.54 , 480 , Wed Jul 19 2017 14:51:36 GMT-0400 (EDT) , 300234065639530
42.3879775 , -72.5295845 , 83 , 36.70 , 1002.63 , 169 , Wed Jul 19 2017 14:53:00 GMT-0400 (EDT) , 300234065639530
42.3879318333 , -72.5295255 , 107 , 35.20 , 1002.67 , 65535 , Wed Jul 19 2017 14:59:13 GMT-0400 (EDT) , 300234065639530
42.3849806667 , -72.521755 , 89 , 38.90 , 1002.27 , 65535 , Wed Jul 19 2017 15:08:13 GMT-0400 (EDT) , 300234065639530
